"M. Pokora","Pas sans toi"
"Wallen","Mes Rêves"
"Singuila","Reviens Je T'En Prie - Radio Edit"
"Booba","Scarface"
"Kayna Samet","Ecorchée Vive"
"Lord Kossity","Hey Sexy Wow - Jamaican Mix"
"Jena Lee","Je Me Perds"
"Vitaa","Avant toi"
"Jena Lee","Du Style"
"Vitaa","J'Oublierai Tout"
"M. Pokora","Parti trop tôt"
"Sheryfa Luna","Si Tu N'Etais Plus Là"
"Léa Castel","Reviens moi"
"M. Pokora","De Retour"
"L5","Retiens Moi"
"Matt","Le Prix A Payer"
"Léa Castel","Histoire D'Une Absence"
"Vitaa","Une fille pas comme les autres"
"Singuila","L'enfant du pays"
"Matt","Le test"
"Jena Lee","Banalité"
"Vitaa","Mon Univers"
"Wallen","Le Triomphe De L'amour"
"Vitaa","Game Over"
"Lady Laistee","Et si ... ?"
"Saian Supa Crew","Angela - Version 2"
"Les Nubians","Makeda"
"Kyo","Je cours"
"Nâdiya","Et c'est parti... (feat. Smartzee)"
"Gage","Pense à moi"
"Kenza Farah","Je me bats"
"Ophélie Winter","Dieu m'a donné la foi"
"Teri Moïse","Les poèmes de Michelle"
"Singuila","C'est trop"
"Assia","Elle est à toi"
"Mystik","Le fruit défendu"
"Tribal Jam","Remind Me (Teardrops)"
"M. Pokora","Showbiz (The Battle)"
"Pearl","J'ai des choses à te dire"
"Angèle","Flemme"
"Angèle","Tout oublier"
"Angèle","Jalousie"
"Angèle","La thune"
"Angèle","Je veux tes yeux"
"Angèle","La loi de Murphy"
"Kyo","Poupées russes"
"Kyo","Le Graal"
"Kyo","Je saigne encore"
"Les Trois Accords","Saskatchewan"
"Lomepal","Trop beau"
"Lomepal","1000°C"
"Lomepal","Yeux disent"
"MC Solaar","Solaar pleure"
"Mickael Miro","L'horloge tourne"
"Orelsan","Rêves bizarres (feat. Damso)"
"Orelsan","La pluie (feat. Stromae)"
"Orelsan","Basique"
"Orelsan","Tout ce que je sais (feat. YBN Cordae)"
"Orelsan","Discipline"
"Angèle","Perdus"
"Aloïse Sauvage","A l'horizontale"
"Aloïse Sauvage","Présentement"
"Calogero","Yalla"
"Gambi","POPOPOP"
"Angèle","Oui ou non"
"Aya Nakamura","Pookie"
"Angèle","Flou"
"Gambi","HÉ OH"
"Angèle","Tu me regardes"
"Nâdiya","Tired Of Being Sorry (feat. Enrique Iglesias)"
"Nâdiya","Parle-moi"
"Indila","Dernière danse"
"Indila","Tourner Dans Le Vide"
"Indila","S.O.S"
"Maëlle","Toutes les machines ont un cœur"
"Maëlle","Je t'aime comme je t'aime"
"Maëlle","L'effet de masse"
"Heuss L'enfoiré","Moulaga"
"Zazie","Speed"
"Zazie","J'envoie valser"
"M. Pokora","Si t'es pas là"
"M. Pokora","Les planètes"
"M. Pokora","Ouh na na"
"Aya Nakamura","Jolie nana"
"Hatik","Angela"
"Bosh","Djomb - Bien ou quoi"
"Dadju","Grand bain"
"Wejdene","Anissa"
"47ter","On avait dit"
"47ter","L'adresse"
"Soprano","Ninja"
"Yuzmv","Épisode III - Les mains libres"
"47ter","Côte Ouest"
"Gradur","Ne reviens pas"
"Salvatore Adamo","Les filles du bord de mer"
"Hatik","La meilleure"
"Black M","Je garde le sourire"
"Boulevard des Airs","San Clemente - Je voulais vous parler des femmes"
"Boulevard des Airs","Allez reste (feat. Vianney)"
"Caballero & JeanJass","Dégueulasse"
"Caballero & JeanJass","Californie"
"Christine and the Queens","Christine"
"Christophe Willem","Après toi"
"Fréro Delavega","Mon petit pays"
"Louise Attaque","Léa"
"Louane","Avenir - Radio Edit"
"Louane","maman"
